short,long
ground beef,"Ground beef, fresh, for processing"
meat without bone,"Meat without bone, beef, for processing"
olive oil,"Olive oil, at plant"
onions,"Onions, peeled, at processing"
parsley,"Parsley, peeled, at processing"
goat milk,"Goat milk, conventional, intensive forage area, at farm gate"
nitric acid  with 98  hno3,"Nitric acid (with 98% HNO3), at plant (adapted from WFLDB)"
tap water  rer   market group for   cut off,"Tap water {RER}| market group for | Cut-off, S - Copied from Ecoinvent"
fructose,"Fructose, production, at plant"
salt,Salt
sunflower oil,"Sunflower oil, at plant"
extraction of corn starch,"Extraction of corn starch, processing"
maize grain dried,"Maize grain dried, conventional, stored and transported, processing"
dark chocolate,"Dark chocolate, at plant"
orange,"Orange, peeled, at processing"
egg yolk,"Egg yolk, raw, at plant"
lamb,"Lamb, conventional, indoor production system, at farm gate"
anchovy,"Anchovy, fillet, raw, at processing"
olives,"Olives, consumption mix"
dummy  mixing,"[Dummy] Mixing, processing, at plant"
triple superphosphate  with 46  p2o5,"Triple superphosphate (with 46% P2O5), at plant (adapted from WFLDB)"
lemon juice,"Lemon juice, pure juice, at plant"
chlorine,"Chlorine, liquid {RoW}| market for chlorine, liquid | Cut-off, S - Copied from Ecoinvent"
wastewater,"Wastewater, average {RoW}| market for wastewater, average | Cut-off, S - Copied from Ecoinvent"
tap water  europe without switzerland   market for   cut off,"Tap water {Europe without Switzerland}| market for | Cut-off, S - Copied from Ecoinvent"
soft wheat grain,"Soft wheat grain, conventional, stored and transported, processing"
grinding of wheat grain,"Grinding of wheat grain, processing"
milk,"Milk, whole, pasteurised, at plant"
apple juice,"Apple juice, industrial production, at plant, NFC, 1L"
grape juice,"Grape juice, reconstituted from a concentrate, at plant"
mixed fruits juice,"Mixed fruits juice, reconstituted from a concentrate, multivitamin, at plant"
sunflower grain,"Sunflower grain, conventional, national average, animal feed, at storage agency/ UA U"
oil mill  ch   construction   cut off,"Oil mill {CH}| construction | Cut-off, S - Copied from Ecoinvent"
hexane  rer   molecular sieve separation of naphtha   cut off,"Hexane {RER}| molecular sieve separation of naphtha | Cut-off, S - Copied from Ecoinvent"
phosphoric acid,"Phosphoric acid, industrial grade, without water, in 85% solution state {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
sulfuric acid  rer   market for sulfuric acid   cut off,"Sulfuric acid {RER}| market for sulfuric acid | Cut-off, S - Copied from Ecoinvent"
nitrogen,"Nitrogen, liquid {RER}| market for | Cut-off, S - Copied from Ecoinvent"
activated carbon,"Activated carbon, granular {GLO}| market for activated carbon, granular | Cut-off, S - Copied from Ecoinvent"
concrete,"Concrete, normal {CH}| unreinforced concrete production, with cement CEM II/A | Cut-off, S - Copied from Ecoinvent"
steel,"Steel, low-alloyed, hot rolled {RER}| production | Cut-off, S - Copied from Ecoinvent"
grapefruit  inc  pomelos,"Grapefruit (inc. pomelos), peeled, at processing"
pineapple,"Pineapple, peeled, at processing"
table apple,"Table apple, peeled, at processing"
urea  with 46  n,"Urea (with 46% N), at plant (adapted from WFLDB)"
dummy  veal stock for sauce and cooking,"[Dummy] Veal stock for sauce and cooking, dehydrated, at plant"
mushroom,"Mushroom, peeled, at processing"
white wine,"White wine, consumption mix"
shallot,"Shallot, peeled, at processing"
natural gas,"Natural gas, high pressure {Europe without Switzerland}| market group for | Cut-off, S - Copied from Ecoinvent"
nickel,"Nickel, class 1 {GLO}| market for nickel, class 1 | Cut-off, S - Copied from Ecoinvent"
solvent,"Solvent, organic {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
chemical factory,"Chemical factory, organics {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
municipal solid waste  europe without switzerland   market group for municipal solid waste   cut off,"Municipal solid waste {Europe without Switzerland}| market group for municipal solid waste | Cut-off, S - Copied from Ecoinvent"
municipal solid waste  row   market for   cut off,"Municipal solid waste {RoW}| market for | Cut-off, S - Copied from Ecoinvent"
veal,"Veal, conventional, fattening system, calves from lowland milk system, at farm gate"
meat,"Meat, pork, without bone"
offal,"Offal, pork"
unpackaging,"Unpackaging, Slicing and packaging, from beef muscle, industrial production, French production mix, at plant, 1 kg of animal by-products C3 for PAP (POUi)"
muscle storage,"Muscle storage, from beef, for sliced beef case ready processing, industrial production, French production mix, at plant, 1 kg of beef muscle (POUi)"
dummy  beef muscles,"[Dummy] Beef muscles, french production mix, at plant"
chili,"Chili, peeled, at processing"
almond,"Almond, unshelled, at processing"
lemon,"Lemon, peeled, at processing"
brandy,"Brandy, consumption mix"
refrigerated storage before delivery,"Refrigerated storage before delivery, Pork chop, Pork chop, industrial production, French production mix, at plant, 1 kg of pork chop case ready (POUi)"
slicing   packaging,"Slicing - packaging, Pork loin, Pork chop, industrial production, French production mix, at plant, 1 kg of pork chop case ready (POUi)"
surface cooling,"Surface cooling, Pork loin, Pork loin, industrial production, French production mix, at plant, 1 kg of loins destinated to slicing after cooling (POUi)"
cutting,"Cutting, carcasses, Pork loin, industrial production, French production mix, at plant, 1 kg Pork loin (POUi)"
chilling   refrigeration,"Chilling - refrigeration, carcasses, carcasses, industrial production, French production mix, at plant, 1 kg of carcasses cut (POUi)"
slaughtering of pigs,"Slaughtering of pigs, Pigs, Carcasses, industrial production, French production mix, at plant, 1 kg of carcasses (POUi)"
live pork storage,"Live pork storage, at plant"
pork chop case ready,"Pork chop case ready, Pigs, Pork shop, industrial production, French production mix, at plant, 1 kg of pork meat (PDi)"
strawberries for coulis,"Strawberries for coulis, frozen, at processing"
sugar,"Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
cooking for fruit coulis,"Cooking for fruit coulis, industrial, 1kg of product in coulis, processing, at plant"
crushing for fruit coulis,"Crushing for fruit coulis, industrial, 1kg of product in puree, processing, at plant"
extraction of wheat starch,"Extraction of wheat starch, processing"
durum wheat,"Durum wheat, semolina, at plant"
tomato paste,"Tomato paste, 30 degrees Brix, at plant (adapted from WFLDB)"
broth,"Broth, stock or bouillon, poultry (reconstituted with water at consumer), at plant"
parmesan cheese,"Parmesan cheese, from cow's milk, at plant"
paddy rice,"Paddy rice, consumption mix"
potassium chloride,"Potassium chloride, as K2O, at plant (adapted from WFLDB)"
skimmed milk powder,"Skimmed milk powder, at feed plant"
extraction of sugar,"Extraction of sugar, from sugar beet, processing"
sugar beet roots,"Sugar beet roots, conventional, national average, animal feed, at farm gate, production"
mix of chicory and coffee,"Mix of chicory and coffee, powder, instant, non rehydrated, at plant"
mozzarella cheese,"Mozzarella cheese, from cow's milk, at plant"
tuna,"Tuna, fillet, raw, at processing"
yogurt,"Yogurt, from cow milk {GLO}| market for | Cut-off, U - Copied from Ecoinvent"
grape,"Grape, full production (phase), integrated, variety mix, Languedoc-Roussillon, at vineyard"
pomegranate,"Pomegranate, peeled, at processing"
fresh ground beef production,"Fresh ground beef production, industrial production, French production mix, at plant, 1 kg of fresh ground beef (PDi)"
pear,"Pear, peeled, at processing"
pesticide,"Pesticide, unspecified {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
raticide,"Raticide, at plant"
lubricating oil  rer   market for lubricating oil   cut off,"Lubricating oil {RER}| market for lubricating oil | Cut-off, S - Copied from Ecoinvent"
mineral oil,"Mineral oil, at plant"
eur flat pallet  rer   market for eur flat pallet   cut off,"EUR-flat pallet {RER}| market for EUR-flat pallet | Cut-off, S - Copied from Ecoinvent"
packaging film,"Packaging film, PE, at plant"
cotton string,"Cotton string, at plant"
label,"Label, coated paper, at plant"
first storage of flour,"First storage of flour, flour with ingredients, industrial production, French production mix, at plant, 1 kg stored flour (POUi)"
ingredients addition,"Ingredients addition, base flour, industrial production, French production mix, at plant, 1 kg flour with ingredients (POUi)"
wheat milling,"Wheat milling, wet wheat, steel-roller-milled, industrial production, French production mix, at plant, 1 kg base flour (POUi)"
wheat moistening,"Wheat moistening, clean wheat, industrial production, French production mix, at plant, 1 kg wet wheat (POUi)"
wheat cleaning,"Wheat cleaning, stored raw wheat, industrial production, French production mix, at plant, 1 kg clean wheat (POUi)"
reception,"Reception, precleaning and storage of raw wheat, soft wheat, industrial production, French production mix, at plant, 1 kg stored raw wheat (POUi)"
storage and loading of bagged flour,"Storage and loading of bagged flour, bagged flour, industrial production, French production mix, at plant, 1 kg bagged flour at the exit gate (POUi)"
waste mineral oil  ch   treatment of,"Waste mineral oil {CH}| treatment of, hazardous waste incineration | Cut-off, S - Copied from Ecoinvent"
common anchovy,"Common anchovy, marinated, at plant"
hard cheese,"Hard cheese, emmental-type cheese, reduced fat, at plant"
walnuts,"Walnuts, unshelled, at processing"
honey,"Honey, at plant"
dry hams,"Dry hams, Hams, Dry hams sliced, industrial production, French production, at plant, 1 kg of dry hams sliced (PDi)"
superior cooked ham packed,"Superior cooked ham packed, Fresh hams muscles, superior cooked hams packed, industrial production, French production, at plant, 1 kg superior cooked hams packed (PDi)"
mix of cereals and legumes,"Mix of cereals and legumes, raw, at plant"
poppy seed,"Poppy seed, consumption mix"
sesame seed,"Sesame seed, consumption mix"
vegetable fat  margarine type,"Vegetable fat (margarine type), 70% fat, unsalted, at plant"
emmental cheese,"Emmental cheese, from cow's milk, at plant"
garden peas,"Garden peas, consumption mix"
grated carrots,"Grated carrots, recipes, at plant/FR"
alaska pollock,"Alaska pollock, fillet, raw, at processing"
rapeseed oil,"Rapeseed oil, at plant"
potato starch,"Potato starch, at farm gate"
maize starch,"Maize starch, at farm gate"
cod,"Cod, fillet, raw, at processing"
lean pork,"Lean pork, raw, at plant"
dummy  packaged cheeses,"[Dummy] Packaged cheeses, at plant"
whey production,"Whey production, processing"
racking  3,"Racking (3), from must, for white wine in an individual cellar, French production mix, at plant, 1 L of lees (POUi)"
grinding and fermentation of corn for ethanol production,"Grinding and fermentation of corn for ethanol production, processing"
maize,"Maize, animal feed, at farm gate"
drying of feed grain  row   processing   cut off,"Drying of feed grain {RoW}| processing | Cut-off, S - Copied from Ecoinvent"
grinding and distillation of corn for ethanol production,"Grinding and distillation of corn for ethanol production, processing"
guar seed,"Guar seed, at farm (adapted from WFLDB)"
chicory,"Chicory, powder, instant, at plant"
oatmeal flakes,"Oatmeal flakes, at plant"
rice flour,"Rice flour, at industrial mill"
milk chocolate,"Milk chocolate, at plant"
candied fruits,"Candied fruits, at plant"
glazing,"Glazing, double, U<1.1 W/m2K {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
sawnwood,"Sawnwood, softwood, raw, dried (u=20%) {RER}| market for | Cut-off, S - Copied from Ecoinvent"
polyvinylchloride,"Polyvinylchloride, suspension polymerised {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
skimmed milk,"Skimmed milk, pasteurisation, from raw milk to skimmed milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)"
debonning,"Debonning, of beef quarter, for frozen ground beef processing, industrial production, French production mix, at plant, 1 kg of food grade bones (POUi)"
quarter storage,"Quarter storage, of beef quarter, for frozen ground beef processing, industrial production, French production mix, at plant, 1 kg of beef quarter (POUi)"
quarter cut,"Quarter cut, of beef carcass, industrial production, French production mix, at plant, 1 kg of beef quarter (POUi)"
slaughtering and chilling,"Slaughtering  and chilling, of beef, industrial production, French production mix, at plant, 1 kg of beef carcass (POUi)"
live beef storage,"Live beef storage, industrial production, French production mix, at plant, 1 kg of living animal (POUi)"
rapeseed,"Rapeseed, organic, stored and transported, at feed plant"
bentonite  glo   market for   cut off,"Bentonite {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
soybean meal,"Soybean meal, metals back to soil, at oil mill"
spinach,"Spinach, peeled, at processing"
linseed oil,"Linseed oil, consumption mix"
extra virgin olive oil,"Extra Virgin Olive Oil, consumption mix"
whole milk,"Whole milk, pasteurisation, from raw milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)"
chestnut,"Chestnut, peeled, at processing"
canning fruits or vegetables,"Canning fruits or vegetables, industrial, 1kg of canned product/ FR U"
dehydration of corn ddgs,"Dehydration of corn DDGS, processing"
ddgs,"DDGS, from corn, at plant"
dry sausages,"Dry sausages, pork meat, Dry sausages, industrial production, French production, at plant, 1 kg of dry sausages product (PDi)"
concentrated milk,"Concentrated milk, 25% dry matter, whole milk, unsweetened, at dairy (adapted from WFLDB)"
buckwheat flour,"Buckwheat flour, at industrial mill"
ginger,"Ginger, consumption mix"
shrimp,"Shrimp, fillet, raw, frozen at processing"
deboning timming,"Deboning-timming, dry hams ripened, Dry hams deboned, industrial production, French production, at plant, 1 kg of rind (POUi)"
cocoa powder,"Cocoa powder, at plant"
lentils,"Lentils, consumption mix"
red kidney bean,"Red kidney bean, consumption mix"
cocoa butter,"Cocoa butter, at plant (adapted from WFLDB)"
leek,"Leek, peeled, at processing"
haricot bean,"Haricot bean, consumption mix"
pig slaughter,"Pig slaughter, processing"
mixt pig,"Mixt pig, conventional, national average, at farm gate"
strawberry,"Strawberry, for processing, peeled, at plant"
mustard,"Mustard, at plant"
carrot puree,"Carrot puree, reconstituted from a concentrate, at plant"
mango puree,"Mango puree, reconstituted from a concentrate, at plant"
orange juice,"Orange juice, reconstituted from a concentrate, at plant"
pineapple juice,"Pineapple juice, reconstituted from a concentrate, at plant"
mixing juice,"Mixing juice, processing, at plant"
biowaste  ch   market for   cut off,"Biowaste {CH}| market for | Cut-off, S - Copied from Ecoinvent"
petit suisse,"Petit-Suisse, fresh cream cheese type, with fruits, 2-3% fat, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent"
frozen concentrated pineapple juice,"Frozen concentrated pineapple juice, consumption mix"
oat based drink,"Oat-based drink, plain, at plant"
drying grape seed,"Drying grape seed, grape seed, 9 to 18 fatty %, French production mix, at plant, 1 kg grape seed (POUi)"
grape seed seedind,"Grape seed seedind, grape pomace, French production mix, at plant, 1 kg wet grape seed (POUi)"
dummy  spent grape marcs,"[Dummy] Spent grape marcs, from wine production, at plant"
generic detergent disinfectant,"Generic detergent-disinfectant, at plant"
biowaste  row   market for   cut off,"Biowaste {RoW}| market for | Cut-off, S - Copied from Ecoinvent"
eggplant,"Eggplant, peeled, at processing"
fish oil,"Fish oil, from anchovy {GLO}| market for fish oil, from anchovy | Cut-off, S - Copied from Ecoinvent"
black pepper,"Black pepper, conventional, at farm gate"
polypropylene,"Polypropylene, granulate {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
injection moulding  glo   market for   cut off,"Injection moulding {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
waste polyethylene  glo   treatment of waste polyethylene,"Waste polyethylene {GLO}| treatment of waste polyethylene, unsanitary landfill, wet infiltration class (500mm) | Cut-off, S - Copied from Ecoinvent"
waste polyethylene polypropylene product  row   market for waste polyethylene polypropylene product   cut off,"Waste polyethylene/polypropylene product {RoW}| market for waste polyethylene/polypropylene product | Cut-off, S - Copied from Ecoinvent"
sodium hypochlorite,"Sodium hypochlorite, without water, in 15% solution state {RER}| market for sodium hypochlorite, without water, in 15% solution state | Cut-off, S - Copied from Ecoinvent"
peracetic acid,"Peracetic acid, at plant"
complexing alkaline detergent,"Complexing alkaline detergent, for the meat industry, at plant"
rolls of paper towels,"Rolls of paper towels, at plant"
hairnet,"Hairnet, PP, at plant"
gloves,"Gloves, rubber, at plant"
industrial mask,"Industrial mask, PP, at plant"
apron,"Apron, at plant"
dummy  unripened salted cheese,"[Dummy] Unripened salted cheese, at plant"
hemp,"Hemp, grain, Champagne, at farm gate"
expanded perlite  row   production   cut off,"Expanded perlite {RoW}| production | Cut-off, S - Copied from Ecoinvent"
polyvinylpolypyrolidore  pvpp,"Polyvinylpolypyrolidore (PVPP), at plant"
silica sand  row   production   cut off,"Silica sand {RoW}| production | Cut-off, S - Copied from Ecoinvent"
polydimethylsiloxane  glo   polydimethylsiloxane production   cut off,"Polydimethylsiloxane {GLO}| polydimethylsiloxane production | Cut-off, S - Copied from Ecoinvent"
winter barley,"Winter barley, conventional, malting quality, animal feed, at farm gate"
wheat starch,"Wheat starch, from wheat starch extraction, at plant"
carbon dioxide,"Carbon dioxide, liquid {RER}| production | Cut-off, S - Copied from Ecoinvent"
diatomaceous earth,"Diatomaceous earth, at plant"
zinc monosulfate  rer   production   cut off,"Zinc monosulfate {RER}| production | Cut-off, S - Copied from Ecoinvent"
biowaste  glo   treatment of biowaste,"Biowaste {GLO}| treatment of biowaste, municipal incineration | Cut-off, S - Copied from Ecoinvent"
biowaste  row   treatment of biowaste,"Biowaste {RoW}| treatment of biowaste, industrial composting | Cut-off, S - Copied from Ecoinvent"
biowaste  row   treatment of biowaste by anaerobic digestion   cut off,"Biowaste {RoW}| treatment of biowaste by anaerobic digestion | Cut-off, S - Copied from Ecoinvent"
pasta,"Pasta, dried, from durum wheat, at plant"
dummy  cod roe,"[Dummy] Cod roe, smoked, semi-preserved, at plant"
canning ready meals,"Canning ready meals, industrial, 1kg of canned product/ FR U"
brandy maturation,"Brandy maturation, raw alcohol, pure alcohol, French production mix, at plant, 1L brandy (POUi)"
diesel,"Diesel, low-sulfur {GLO}| market group for | Cut-off, S - Copied from Ecoinvent"
brandy distillation,"Brandy distillation, wine, pure alcohol, 86 % vol max, French production mix, at plant, 1L alcohol (POUi)"
dummy  piquette,"[Dummy] Piquette, for brandy production, at plant"
merguez sausage,"Merguez sausage, beef and mutton, raw, at plant"
meat with bone,"Meat with bone, chicken, for processing"
coffee,"Coffee, freeze dried, at plant"
soybean beverage,"Soybean beverage, at plant"
insecticide,"Insecticide, unspecified, mix for oil seed crops, at plant (adapted from WFLDB)"
fungicide,"Fungicide, unspecified, mix for oil seed crops, at plant (adapted from WFLDB)"
herbicide,"Herbicide, unspecified, mix for oil seed crops, at plant (adapted from WFLDB)"
soybean grain,"Soybean grain, for human consumption, consumption mix"
steam,"Steam, in chemical industry {RER}| market for steam, in chemical industry | Cut-off, S - Copied from Ecoinvent"
slicing packaging,"Slicing-packaging, dry hams pressed, Dry hams sliced, industrial production, French production, at plant, 1 kg of lost of sclicing (POUi)"
sulfur dioxide,"Sulfur dioxide, liquid {RER}| market for | Cut-off, S - Copied from Ecoinvent"
inorganic nitrogen fertiliser,"Inorganic nitrogen fertiliser, as N {RER}| nutrient supply from monoammonium phosphate | Cut-off, S - Copied from Ecoinvent"
bag in box,"Bag-in-box, at plant"
bottle,"Bottle, PET, at plant"
cardboard box,"Cardboard box, at plant"
tallow,"Tallow, unrefined {GLO}| tallow, unrefined, Recycled Content cut-off | Cut-off, S - Copied from Ecoinvent"
glass bottles,"Glass bottles, at plant"
natural cork stopper,"Natural cork stopper, at plant"
screw cap,"Screw cap, aluminium, for wine bottle, at plant"
over cap,"Over cap, PVC, for wine bottle, at plant"
plastic cork stopper,"Plastic cork stopper, at plant"
biowaste  ch   treatment of biowaste,"Biowaste {CH}| treatment of biowaste, industrial composting | Cut-off, S - Copied from Ecoinvent"
dummy  recycling 10 l steel can,[Dummy] Recycling 10 L steel can
dummy  recycling plastic,"[Dummy] Recycling plastic, 25 kg bag"
dicalcium phosphate,"Dicalcium phosphate, processing"
gruyere cheese,"Gruyere cheese, from cow's milk, at plant"
french bean,"French bean, peeled, at processing"
lemon sole,"Lemon sole, fillet, raw, at processing"
extraction of coagulum from alfalfa,"Extraction of coagulum from alfalfa, processing"
alfalfa,"Alfalfa, conventional, for dehydration, animal feed, at farm gate, production"
transporting from farm to factory,"Transporting from farm to factory, with 2 axle trailer (15 t) for alfalfa, processing"
olive  es   olive production   cut off,"Olive {ES}| olive production | Cut-off, U - Adapted from Ecoinvent"
olive  it   olive production   cut off,"Olive {IT}| olive production | Cut-off, U - Copied from Ecoinvent"
dummy  crouton with garlic,"[Dummy] Crouton with garlic, herbs or onions, prepacked, at plant"
endive,"Endive, peeled, at processing"
escaroles,"Escaroles, peeled, at processing"
red endive,"Red endive, peeled, at processing"
cheese sauce for risotto or pasta,"Cheese sauce for risotto or pasta, prepacked, at plant"
transformation into spray dried soluble coffee,"Transformation into spray-dried soluble coffee, green coffee, per kg product (adapted from WFLDB)"
selection of hams,"Selection of hams, Fresh hams muscles, Fresh hams muscles selected, industrial production, French production, at plant, 1 kg of fresh hams muscles declassified (POUi)"
reception   storage of meat,"Reception - storage of meat, Fresh hams muscles, Fresh hams muscles, industrial production, French production, at plant, 1 kg of fresh hams muscles (POUi)"
pork ham,"Pork ham, raw, at plant"
asparagus,"Asparagus, peeled, at processing"
table grape,"Table grape, peeled, at processing"
peach,"Peach, pitted, at processing"
fresh sausages case ready,"Fresh sausages case ready, Pork meat and ingredients, Fresh sausages case ready, industrial production, French production, at plant, 1 kg of fresh sausage case ready (PDi)"
coconut oil,"Coconut oil, refined {PH}| coconut oil refinery operation | Cut-off, U - Adapted from Ecoinvent"
potato starch  glo   market for   cut off,"Potato starch {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
sulphiting,"Sulphiting, from white wine, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of white wine (POUi)"
tartaric stabilisation,"Tartaric stabilisation, from white wine, for white wine in a cooperative cellar, with CMC, French production mix, at plant, 1 L of white wine (POUi)"
filtration,"Filtration, from must, for white wine in a cooperative cellar, tangential, French production mix, at plant, 1 L of white wine (POUi)"
racking,"Racking, from must, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
thermic regulation,"Thermic regulation, from must, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)"
settling,"Settling, from must, for white wine in a cooperative cellar, static, French production mix, at plant, 1 L of must (POUi)"
pressing,"Pressing, from destemed grape, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)"
destem crushing,"Destem/crushing, from grape, for white wine in a cooperative cellar, French production mix, at plant, 1 kg of destemed grape (POUi)"
enzym addition,"Enzym addition, from grape, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 kg of grape (POUi)"
filtration  lees,"Filtration (lees), from lees to filter, for white wine in a cooperative cellar, tangential, French production mix, at plant, 1 L of must (POUi)"
green salad,"Green salad, peeled, at processing"
fresh ground veal production,"Fresh ground veal production, industrial production, French production mix, at plant, 1 kg of fresh ground veal (PDi)"
deboning,"Deboning, of beef quarter, for fresh ground beef processing, industrial production, French production mix, at plant, 1 kg of Food grade bones (POUi)"
wastewater from maize starch production  glo   market for   cut off,"Wastewater from maize starch production {GLO}| market for | Cut-off, S - Copied from Ecoinvent"
scallop,"Scallop, unshelled, at processing"
beef,"Beef, food grade offal, at slaughterhouse (adapted from WFLDB)"
glutamate,Glutamate
glucose  glo   glucose production   cut off,"Glucose {GLO}| glucose production | Cut-off, S - Copied from Ecoinvent"
dummy  breakfast cereals,"[Dummy] Breakfast cereals, corn flakes, sugar iced, fortified with vitamins and chemical elements, at plant"
cashew nut,"Cashew nut, unshelled, at processing"
raisin,"Raisin, consumption mix"
bottling,"Bottling, from red wine, for red wine in a cooperative cellar, French production mix, at plant, 1 L of red wine (POUi)"
