e150a,e150a,piquette extraction,"Piquette extraction, grape pomace silaged, 3 to 8 %vol, water scattering, French production mix, at plant, 1 L piquette (POUi)",0.25842312
e202,e202,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.38912812
canola-oil,canola-oil,rapeseed oil,"Rapeseed oil, at plant",0.9242526
e129,e129,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.27852616
tomato,tomato,tomato,"Tomato, for processing, peeled, at plant",1.0
e250,e250,diesel,"Diesel, low-sulfur {GLO}| market group for | Cut-off, S - Copied from Ecoinvent",0.28732666
high-fructose-corn-syrup,high-fructose-corn-syrup,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.889391
butter,butter,butter,"Butter, 82% fat, unsalted, at dairy",1.0000001
yeast-extract,yeast-extract,yeast,"Yeast, at plant",0.78306377
e102,e102,ddgs,"DDGS, from corn, at plant",0.24656902
honey,honey,honey,"Honey, at plant",1.0
parsley,parsley,parsley,"Parsley, peeled, at processing",1.0
almond,almond,almond,"Almond, unshelled, at processing",1.0000001
artificial-flavouring,artificial-flavouring,liquid cream,"Liquid cream, light, 15-20% fat, UHT, from cow milk {RoW}| yogurt production, from cow milk | Cut-off, U - Adapted from Ecoinvent",0.46638402
e270,e270,ddgs,"DDGS, from corn, at plant",0.44036242
pepper,pepper,pepper,"Pepper, green, peeled, at processing",1.0000001
paprika,paprika,oregano,"Oregano, dried, consumption mix",0.60105205
e440a,e440a,cheese sauce for risotto or pasta,"Cheese sauce for risotto or pasta, prepacked, at plant",0.2212081
e133,e133,pork ham,"Pork ham, raw, at plant",0.18086039
potato-starch,potato-starch,potato starch,"Potato starch, at farm gate",0.99999994
soya-bean,soya-bean,mung bean,"Mung bean, consumption mix",0.8217335
potato,potato,potato,"Potato, consumption mix",1.0000001
whole-milk-powder,whole-milk-powder,whole milk,"Whole milk, pasteurisation, from raw milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)",0.89700073
rice-flour,rice-flour,rice flour,"Rice flour, at industrial mill",1.0
tomato-concentrate,tomato-concentrate,tomato juice,"Tomato juice, pure juice, consumption mix",0.7490671
wheat,wheat,durum wheat grain,"Durum wheat grain, at farm (adapted from WFLDB)",0.9069319
e339,e339,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.16606903
wheat-gluten,wheat-gluten,wheat flour,"Wheat flour, at industrial mill",0.8370013
vitamins,vitamins,soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant",0.44615003
corn,corn,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.7460724
lactose,lactose,fructose,"Fructose, production, at plant",0.5332424
red-bell-pepper,red-bell-pepper,black pepper,"Black pepper, conventional, at farm gate",0.8012305
coconut-oil,coconut-oil,coconut oil,"Coconut oil, refined {PH}| coconut oil refinery operation | Cut-off, U - Adapted from Ecoinvent",1.0000001
turmeric,turmeric,ginger,"Ginger, consumption mix",0.6190862
iron,iron,steel,"Steel, low-alloyed, hot rolled {RER}| production | Cut-off, S - Copied from Ecoinvent",0.59032565
black-pepper,black-pepper,black pepper,"Black pepper, conventional, at farm gate",1.0000001
peanut,peanut,peanut,"Peanut, unshelled, at processing",1.0
sodium-citrate,sodium-citrate,dummy sodium citrate,"[Dummy] Sodium citrate, at plant",0.8763617
e410,e410,dummy recycling 10 l steel can,[Dummy] Recycling 10 L steel can,0.2632764
e110,e110,sulphiting,"Sulphiting, from white wine, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of white wine (POUi)",0.239741
concentrated-lemon-juice,concentrated-lemon-juice,lemon juice,"Lemon juice, pure juice, at plant",0.8981424
e422,e422,gloves,"Gloves, rubber, at plant",0.1524897
retinyl-palmitate,retinyl-palmitate,dicalcium phosphate,"Dicalcium phosphate, processing",0.50426435
e414,e414,ddgs,"DDGS, from corn, at plant",0.31897083
wheat-starch,wheat-starch,wheat starch,"Wheat starch, from wheat starch extraction, at plant",1.0
extra-virgin-olive-oil,extra-virgin-olive-oil,extra virgin olive oil,"Extra Virgin Olive Oil, consumption mix",0.99999994
barley-malt-flour,barley-malt-flour,rye flour,"Rye flour, at industrial mill",0.84714216
pasteurised-milk,pasteurised-milk,milk,"Milk, whole, pasteurised, at plant",0.8753538
milk-proteins,milk-proteins,milk,"Milk, whole, pasteurised, at plant",0.8217122
apple,apple,apple juice,"Apple juice, industrial production, at plant, NFC, 1L",0.8534331
cinnamon,cinnamon,cinnamon canella,"Cinnamon (canella), consumption mix",0.87340677
celery,celery,celery,"Celery, peeled, at processing",1.0000001
e450i,e450i,ammonia with 100 nh3,"Ammonia (with 100% NH3), steam reforming process, at plant (adapted from WFLDB)/UN-SEASIA U",0.30276006
thiamin,thiamin,potassium bitartrate,"Potassium bitartrate, at plant",0.5702251
cocoa,cocoa,cocoa butter,"Cocoa butter, at plant (adapted from WFLDB)",0.8617363
chili-pepper,chili-pepper,chili,"Chili, peeled, at processing",0.89110816
glucose-fructose-syrup,glucose-fructose-syrup,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.90539783
natural-vanilla-flavouring,natural-vanilla-flavouring,vanilla,"Vanilla, consumption mix",0.7477501
coconut,coconut,coconut,"Coconut, consumption mix",1.0000001
brown-sugar,brown-sugar,brown sugar,"Brown sugar, production, at plant",0.99999994
egg-yolk,egg-yolk,egg yolk,"Egg yolk, raw, at plant",1.0
e621,e621,asian noodles,"Asian noodles, flavoured, at plant",0.28615436
molasses,molasses,molasses,"Molasses, from sugar beet, animal feed, at plant",1.0
e466,e466,grinding of by products,"Grinding of by-products, ungrinded by-products, industrial production, French production mix, at plant, 1 kg grinded by-products (POUi)",0.12477986
e160b,e160b,ddgs,"DDGS, from corn, at plant",0.27217165
egg-white,egg-white,egg white,"Egg white, raw, at plant",1.0
soya,soya,soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant",0.73173815
e296,e296,polyvinylpolypyrolidore pvpp,"Polyvinylpolypyrolidore (PVPP), at plant",0.17551877
basil,basil,basil,"Basil, peeled, at processing",1.0
e341i,e341i,ddgs,"DDGS, from corn, at plant",0.2202548
olive-oil,olive-oil,olive oil,"Olive oil, at plant",1.0
cocoa-powder,cocoa-powder,cocoa powder,"Cocoa powder, at plant",1.0
dehydrated-onion,dehydrated-onion,onions,"Onions, peeled, at processing",0.70353067
ginger,ginger,ginger,"Ginger, consumption mix",1.0000001
distilled-vinegar,distilled-vinegar,brandy distillation,"Brandy distillation, wine, pure alcohol, 86 % vol max, French production mix, at plant, 1L alcohol (POUi)",0.64478755
e301,e301,ddgs,"DDGS, from corn, at plant",0.2712467
e170i,e170i,ddgs,"DDGS, from corn, at plant",0.30870128
e955,e955,cinnamon canella,"Cinnamon (canella), consumption mix",0.30921686
lemon-juice,lemon-juice,lemon juice,"Lemon juice, pure juice, at plant",1.0
sunflower-lecithin,sunflower-lecithin,sunflower oil,"Sunflower oil, at plant",0.7805932
e500,e500,diesel,"Diesel, low-sulfur {GLO}| market group for | Cut-off, S - Copied from Ecoinvent",0.30010378
filtered-water,filtered-water,water,"Water, deionised {Europe without Switzerland}| market for water, deionised | Cut-off, S - Copied from Ecoinvent",0.80423373
acid,acid,phosphoric acid,"Phosphoric acid, industrial grade, without water, in 85% solution state {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.8857164
e428,e428,raticide,"Raticide, at plant",0.24560729
rapeseed-oil,rapeseed-oil,rapeseed oil,"Rapeseed oil, at plant",1.0
whey-powder,whey-powder,whey powder production,"Whey powder production, processing",0.8884068
flour,flour,wheat flour,"Wheat flour, at industrial mill",0.8876305
antioxidant,antioxidant,grapeseed,"Grapeseed, dry at distillerie",0.45183483
fat-reduced-cocoa-powder,fat-reduced-cocoa-powder,cocoa powder,"Cocoa powder, at plant",0.8116261
pork-meat,pork-meat,meat,"Meat, pork, without bone",0.9204763
pork,pork,pork sausages,"Pork sausages, for canned salt-cured pork belly with lentils",0.89588356
e509,e509,urea with 46 n,"Urea (with 46% N), at plant (adapted from WFLDB)",0.3577914
rice,rice,paddy rice,"Paddy rice, consumption mix",0.90579116
vanilla-extract,vanilla-extract,vanilla,"Vanilla, consumption mix",0.8305651
mustard-seed,mustard-seed,mustard,"Mustard, at plant",0.8478474
vitamin-c,vitamin-c,calcium chloride rer soda production,"Calcium chloride {RER}| soda production, solvay process | Cut-off, S - Copied from Ecoinvent",0.42857975
hazelnut,hazelnut,hazelnut,"Hazelnut, unshelled, consumption mix",1.0000001
e211,e211,ddgs,"DDGS, from corn, at plant",0.24421819
butterfat,butterfat,milk,"Milk, whole, pasteurised, at plant",0.5345537
chocolate,chocolate,milk chocolate,"Milk chocolate, at plant",0.8738602
palm-kernel-oil,palm-kernel-oil,palm oil,"Palm oil, refined, consumption mix",0.89627767
vanilla,vanilla,vanilla,"Vanilla, consumption mix",1.0
milkfat,milkfat,milk,"Milk, whole, pasteurised, at plant",0.50256175
starch,starch,maize starch,"Maize starch, at farm gate",0.8726694
e316,e316,buckwheat flour,"Buckwheat flour, at industrial mill",0.24592225
strawberry,strawberry,strawberry,"Strawberry, for processing, peeled, at plant",1.0000001
palm,palm,palm oil,"Palm oil, refined, consumption mix",0.8343178
durum-wheat-semolina,durum-wheat-semolina,durum wheat,"Durum wheat, semolina, at plant",0.94997233
e950,e950,escaroles,"Escaroles, peeled, at processing",0.26066482
whole-wheat-flour,whole-wheat-flour,wheat flour,"Wheat flour, at industrial mill",0.90158457
e903,e903,lean pork,"Lean pork, raw, at plant",0.16020569
e450,e450,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.23912093
e420,e420,ddgs,"DDGS, from corn, at plant",0.3766548
vitamin-b6,vitamin-b6,potassium bitartrate,"Potassium bitartrate, at plant",0.44527844
cholecalciferol,cholecalciferol,potassium bitartrate,"Potassium bitartrate, at plant",0.43388543
tapioca,tapioca,rice flour,"Rice flour, at industrial mill",0.6306549
whole-milk,whole-milk,whole milk,"Whole milk, pasteurisation, from raw milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)",0.9999999
palm-fat,palm-fat,palm oil,"Palm oil, refined, consumption mix",0.7326675
vitamin-b12,vitamin-b12,potassium bitartrate,"Potassium bitartrate, at plant",0.4639461
corn-flour,corn-flour,maize flour,"Maize flour, at industrial mill",0.8973876
carbonated-water,carbonated-water,water,"Water, deionised {Europe without Switzerland}| market for water, deionised | Cut-off, S - Copied from Ecoinvent",0.8352137
soya-flour,soya-flour,rice flour,"Rice flour, at industrial mill",0.8456411
alcohol-vinegar,alcohol-vinegar,soy drink,"Soy drink, plain, at plant",0.6106345
mustard,mustard,mustard,"Mustard, at plant",1.0
e160c,e160c,ammonia with 100 nh3,"Ammonia (with 100% NH3), steam reforming process, at plant (adapted from WFLDB)/UN-SEASIA U",0.43894497
vegetable-oil,vegetable-oil,sunflower oil,"Sunflower oil, at plant",0.82677686
herb,herb,provence herbs,"Provence herbs, dried, consumption mix",0.67244256
e516,e516,raticide,"Raticide, at plant",0.48192516
gluten,gluten,wheat starch,"Wheat starch, from wheat starch extraction, at plant",0.60061973
stabiliser,stabiliser,tartaric stabilisation,"Tartaric stabilisation, from white wine, for white wine in a cooperative cellar, with CMC, French production mix, at plant, 1 L of white wine (POUi)",0.5946891
beef,beef,beef,"Beef, food grade offal, at slaughterhouse (adapted from WFLDB)",1.0000001
oregano,oregano,oregano,"Oregano, dried, consumption mix",1.0000001
sunflower,sunflower,sunflower oil,"Sunflower oil, at plant",0.85351604
corn-syrup-solids,corn-syrup-solids,corn glucose syrup,"Corn glucose syrup, at plant (adapted from WFLDB)",0.85693264
acidity-regulator,acidity-regulator,thermic regulation,"Thermic regulation, from must, for white wine in a cooperative cellar, French production mix, at plant, 1 L of must (POUi)",0.5512478
rennet,rennet,dummy rennet,"[Dummy] Rennet, animal chymosin, production mix, at plant",0.7063076
buttermilk,buttermilk,yogurt,"Yogurt, from cow milk {GLO}| market for | Cut-off, U - Copied from Ecoinvent",0.6093993
whole-egg,whole-egg,whole milk,"Whole milk, pasteurisation, from raw milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)",0.7645559
barley-malt-extract,barley-malt-extract,wheat bran,"Wheat bran, at industrial mill",0.6576282
sesame-seeds,sesame-seeds,sesame seed,"Sesame seed, consumption mix",0.9494976
malted-barley,malted-barley,wheat bran,"Wheat bran, at industrial mill",0.6969781
jalapeno,jalapeno,chili,"Chili, peeled, at processing",0.7042362
fructose,fructose,fructose,"Fructose, production, at plant",1.0
cashew-nuts,cashew-nuts,cashew nut,"Cashew nut, unshelled, at processing",0.91033155
tomato-puree,tomato-puree,tomato,"Tomato, for processing, peeled, at plant",0.86673325
spice-extract,spice-extract,combined oil mix of olive oil and seeds oil,"Combined oil (mix of olive oil and seeds oil), at plant",0.5219038
coriander,coriander,coriander,"Coriander, consumption mix",1.0000001
e508,e508,scallop,"Scallop, unshelled, at processing",0.19884127
canola,canola,rapeseed,"Rapeseed, organic, stored and transported, at feed plant",0.76823765
e631,e631,squid,"Squid, fillet, raw, at processing",0.21185118
thyme,thyme,thyme,"Thyme, dried, consumption mix",1.0
iodised-salt,iodised-salt,salt,Salt,0.88326824
lemon,lemon,lemon,"Lemon, peeled, at processing",1.0000001
e481,e481,carboxymethyl cellulose,"Carboxymethyl cellulose, powder {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.206578
sunflower-seed,sunflower-seed,sesame seed,"Sesame seed, consumption mix",0.8606235
cranberry,cranberry,pomegranate,"Pomegranate, peeled, at processing",0.62559366
raisin,raisin,raisin,"Raisin, consumption mix",1.0000001
e160ai,e160ai,nitric acid with 98 hno3,"Nitric acid (with 98% HNO3), at plant (adapted from WFLDB)",0.4081662
raising-agent,raising-agent,drying of rapeseed in storing agency,"Drying of rapeseed in storing agency, processing",0.4282979
blueberry,blueberry,strawberry,"Strawberry, for processing, peeled, at plant",0.8133736
invert-sugar-syrup,invert-sugar-syrup,syrup,"Syrup, with sugar (to be diluted), at plant",0.8264501
vanillin,vanillin,vanilla,"Vanilla, consumption mix",0.55175555
e627,e627,building,"Building, hall {CH}| construction | Cut-off, S - Copied from Ecoinvent",0.1548881
e341,e341,dummy capers,"[Dummy] Capers, pickled in vinegar, at plant",0.25740227
vitamin-d,vitamin-d,calcium chloride rer soda production,"Calcium chloride {RER}| soda production, solvay process | Cut-off, S - Copied from Ecoinvent",0.4255294
e171,e171,carbon dioxide,"Carbon dioxide, liquid {RER}| production | Cut-off, S - Copied from Ecoinvent",0.33964333
spinach,spinach,spinach,"Spinach, peeled, at processing",1.0
oat-flakes,oat-flakes,oatmeal flakes,"Oatmeal flakes, at plant",0.86959493
soy-protein,soy-protein,soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant",1.0
e503ii,e503ii,disposal,"Disposal, animal byproducts (category 1), to municipal incineration, allocation price",0.12941717
raspberry,raspberry,strawberry,"Strawberry, for processing, peeled, at plant",0.7820765
e435,e435,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.19521815
invert-sugar,invert-sugar,sugar,"Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.78512096
chicken,chicken,chicken egg,"Chicken egg, raw, without shell, at plant",0.8798144
e472e,e472e,ddgs,"DDGS, from corn, at plant",0.17176364
e322,e322,escaroles,"Escaroles, peeled, at processing",0.22237578
leek,leek,leek,"Leek, peeled, at processing",1.0000001
glucose,glucose,glucose glo glucose production cut off,"Glucose {GLO}| glucose production | Cut-off, S - Copied from Ecoinvent",0.7521016
banana,banana,banana puree,"Banana puree, reconstituted from a concentrate, at plant",0.84170115
e331,e331,biowaste ch treatment of biowaste,"Biowaste {CH}| treatment of biowaste, industrial composting | Cut-off, S - Copied from Ecoinvent",0.19661066
bell-pepper,bell-pepper,pepper,"Pepper, green, peeled, at processing",0.83342946
whey-protein,whey-protein,soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant",0.8288794
e120,e120,ammonia with 100 nh3,"Ammonia (with 100% NH3), steam reforming process, at plant (adapted from WFLDB)/UN-SEASIA U",0.40698153
pineapple,pineapple,pineapple,"Pineapple, peeled, at processing",1.0000001
e282,e282,devatting,"Devatting, from grape pomace before pressing, for red wine in a cooperative cellar, French production mix, at plant, 1 kg of grape pomace before pressing (POUi)",0.20764443
white-pepper,white-pepper,black pepper,"Black pepper, conventional, at farm gate",0.95176
vitamin-e,vitamin-e,calcium chloride rer soda production,"Calcium chloride {RER}| soda production, solvay process | Cut-off, S - Copied from Ecoinvent",0.46085042
processed with alkali,processed with alkali,processed cheese,"Processed cheese, in slices, at plant",0.6248174
apple-juice,apple-juice,apple juice,"Apple juice, industrial production, at plant, NFC, 1L",1.0000001
tomato-powder,tomato-powder,tomato,"Tomato, for processing, peeled, at plant",0.80008674
alcohol,alcohol,soy drink,"Soy drink, plain, at plant",0.53916305
e200,e200,celeriac,"Celeriac, peeled, at processing",0.23918469
smoke-flavouring,smoke-flavouring,dummy smoking fish,"[Dummy] Smoking fish, processing, at plant",0.5242063
cocoa-processed-with-alkali,cocoa-processed-with-alkali,cocoa butter,"Cocoa butter, at plant (adapted from WFLDB)",0.6462643
rice-starch,rice-starch,maize starch,"Maize starch, at farm gate",0.8789647
oat,oat,oat,"Oat, consumption mix",1.0
e951,e951,devatting,"Devatting, from grape pomace before pressing, for red wine in a cooperative cellar, French production mix, at plant, 1 kg of grape pomace before pressing (POUi)",0.18975128
carob-seed-flour,carob-seed-flour,oat flour,"Oat flour, at industrial mill",0.8003555
e541,e541,red gurnard,"Red gurnard, fillet, raw, at processing",0.3159431
e100,e100,dummy recycling 10 l steel can,[Dummy] Recycling 10 L steel can,0.29267243
cumin,cumin,coriander,"Coriander, consumption mix",0.7468774
milk-powder,milk-powder,skimmed milk powder,"Skimmed milk powder, at feed plant",0.90651774
thickener,thickener,flocculant,"Flocculant, hydrocarbon based, at plant",0.5567984
fortified-wheat-flour,fortified-wheat-flour,wheat flour,"Wheat flour, at industrial mill",0.9014337
ferrous-sulfate,ferrous-sulfate,sodium hydroxide,"Sodium hydroxide, without water, in 50% solution state {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.6714457
e127,e127,yeasting,"Yeasting, from must, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.40154424
nutmeg,nutmeg,nutmeg,"Nutmeg, consumption mix",1.0000001
e551,e551,phosphoric acid with 54 p2o5,"Phosphoric acid (with 54% P2O5), at plant (adapted from WFLDB)",0.35521442
unrefined-cane-sugar,unrefined-cane-sugar,sugar,"Sugar, from sugarcane {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.8282975
flax-seed,flax-seed,sesame seed,"Sesame seed, consumption mix",0.82491416
peach,peach,peach,"Peach, pitted, at processing",1.0000001
e433,e433,ddgs,"DDGS, from corn, at plant",0.28912503
orange,orange,orange,"Orange, peeled, at processing",1.0000001
e262ii,e262ii,escaroles,"Escaroles, peeled, at processing",0.37974098
e401,e401,ddgs,"DDGS, from corn, at plant",0.27389973
microbial-culture,microbial-culture,lactic bacteria production,"Lactic bacteria production, at plant",0.5846558
monoglycerides,monoglycerides,soybean lecithin br,"Soybean lecithin BR, crushing in France, animal feed, at french mill, average",0.5400739
cider-vinegar,cider-vinegar,apple juice,"Apple juice, industrial production, at plant, NFC, 1L",0.6088081
ferment,ferment,fermentation activator,"Fermentation activator, bacterial, at plant",0.57474047
corn-oil,corn-oil,maize oil,"Maize oil, at oil mill (adapted from WFLDB)",0.8897732
pasteurised-cow-s-milk,pasteurised-cow-s-milk,cow milk,"Cow milk, national average, at farm gate",0.86911446
e339ii,e339ii,ddgs,"DDGS, from corn, at plant",0.38902313
sulfite,sulfite,sodium hypochlorite,"Sodium hypochlorite, without water, in 15% solution state {RER}| market for sodium hypochlorite, without water, in 15% solution state | Cut-off, S - Copied from Ecoinvent",0.586058
tomato-juice,tomato-juice,tomato juice,"Tomato juice, pure juice, consumption mix",1.0
walnut,walnut,hazelnut,"Hazelnut, unshelled, consumption mix",0.67747915
pyridoxine-hydrochloride,pyridoxine-hydrochloride,potassium bitartrate,"Potassium bitartrate, at plant",0.6532796
e338,e338,phosphoric acid with 54 p2o5,"Phosphoric acid (with 54% P2O5), at plant (adapted from WFLDB)",0.3615618
mango,mango,mango puree,"Mango puree, reconstituted from a concentrate, at plant",0.85879356
barley,barley,winter barley,"Winter barley, conventional, malting quality, animal feed, at farm gate",0.797118
spirit-vinegar,spirit-vinegar,brandy distillation,"Brandy distillation, wine, pure alcohol, 86 % vol max, French production mix, at plant, 1L alcohol (POUi)",0.50707936
pantothenic-acid,pantothenic-acid,phosphoric acid,"Phosphoric acid, industrial grade, without water, in 85% solution state {GLO}| market for | Cut-off, S - Copied from Ecoinvent",0.8391294
coriander-leaf,coriander-leaf,coriander,"Coriander, consumption mix",0.837735
soy-protein-isolate,soy-protein-isolate,soy protein,"Soy protein, textured, dehydrated, from soy flour, at plant",0.9000531
pecan-nut,pecan-nut,cashew nut,"Cashew nut, unshelled, at processing",0.88091934
e260,e260,quinoa fr,"Quinoa FR, conventional, at farm gate",0.27020696
clove,clove,cloves,"Cloves, consumption mix",0.82089144
modified-potato-starch,modified-potato-starch,potato starch,"Potato starch, at farm gate",0.8915417
e160a,e160a,sulphiting 2,"Sulphiting (2), from must, for white wine in an individual cellar, by hand, French production mix, at plant, 1 L of must (POUi)",0.36507535
e503,e503,polyvinylpolypyrolidore pvpp,"Polyvinylpolypyrolidore (PVPP), at plant",0.18376803
fish,fish,fish oil,"Fish oil, from anchovy {GLO}| market for fish oil, from anchovy | Cut-off, S - Copied from Ecoinvent",0.8227445
apricot,apricot,apricot,"Apricot, pitted, at processing",1.0
cottonseed,cottonseed,cottonseed oil,"Cottonseed oil, crude {GLO}| market for | Cut-off, U - Copied from Ecoinvent",0.8503258
cherry,cherry,cherry juice,"Cherry juice, pure juice, consumption mix",0.8299341
semi-skimmed-milk,semi-skimmed-milk,semi skimmed milk,"Semi-skimmed milk, pasteurisation, from raw milk to semi-skimmed milk, at 72 degrees Celsius for 30 s., French production mix, at plant, 1 kg of pasteurised milk (PGi)",1.0000001
cayenne-pepper,cayenne-pepper,pepper,"Pepper, green, peeled, at processing",0.90940773
cornmeal,cornmeal,buckwheat flour,"Buckwheat flour, at industrial mill",0.6787319
e132,e132,sulphiting,"Sulphiting, from white wine, for white wine in a cooperative cellar, by hand, French production mix, at plant, 1 L of white wine (POUi)",0.22979651
